0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,0.01655,0.01490,0.00901,0.00763,0.00798,0.00640,0.01017,0.02620
20,0.01816,0.01874,0.01194,0.01007,0.00909,0.00972,0.01439,0.03742
30,0.02125,0.02110,0.01557,0.01121,0.01101,0.01160,0.01761,0.05670
40,0.02314,0.02140,0.01673,0.01310,0.01248,0.01449,0.01478,0.04935
50,0.02305,0.01962,0.01556,0.01627,0.01338,0.01444,0.02046,0.05397
60,0.02401,0.02414,0.01730,0.01584,0.01342,0.01236,0.01871,0.05215
70,0.02629,0.02438,0.01452,0.01237,0.01265,0.01296,0.01602,0.05111
80,0.02459,0.02169,0.01299,0.01282,0.01000,0.01314,0.01898,0.05095
90,0.01903,0.01935,0.01369,0.01350,0.01092,0.01134,0.01458,0.04492
100,0.01432,0.01662,0.01355,0.01359,0.00780,0.01095,0.01265,0.04304
